name,n,s,r,bsize,mean,std_dev
example1_double_seq,15,32768,0.0,0.0,7.748e-05,1.249326349090025e-06
example1_double_seq,16,65536,0.0,0.0,0.00015558,2.572142757964054e-06
example1_double_seq,17,131072,0.0,0.0,0.00031002,2.445236936059452e-06
example1_double_seq,18,262144,0.0,0.0,0.00062048,3.985893493155012e-06
example1_double_seq,19,524288,0.0,0.0,0.00123972,3.5400910861105232e-06
example1_double_seq,20,1048576,0.0,0.0,0.00247894,6.609856585557098e-06
example1_double_seq,21,2097152,0.0,0.0,0.00495696,1.8321349206177263e-05
example1_double_seq,22,4194304,0.0,0.0,0.0102103,2.5642956625354235e-05
example1_double_seq,23,8388608,0.0,0.0,0.02132436,3.09744858796753e-05
example1_double_seq,24,16777216,0.0,0.0,0.04330766,5.5214095360972784e-05
example1_double_seq,25,33554432,0.0,0.0,0.08730878,7.842955763106175e-05
example1_double_seq,26,67108864,0.0,0.0,0.17505408,0.0001413026625686
example1_double_seq,27,134217728,0.0,0.0,0.35158492,0.0054729351556508
example1_double_seq,28,268435456,0.0,0.0,0.7037869600000001,0.0007868955525431
example1_double_seq,29,536870912,0.0,0.0,1.41137796,0.0016210196206746
example1_double_seq_kahan,15,32768,0.0,0.0,0.0003098,2.539484119233028e-06
example1_double_seq_kahan,16,65536,0.0,0.0,0.0006196,2.6418917155581297e-06
example1_double_seq_kahan,17,131072,0.0,0.0,0.00123832,2.1422856380749235e-06
example1_double_seq_kahan,18,262144,0.0,0.0,0.002477,4.160062793874581e-06
example1_double_seq_kahan,19,524288,0.0,0.0,0.00496002,1.4621049963693311e-05
example1_double_seq_kahan,20,1048576,0.0,0.0,0.00990148,6.908261838744525e-06
example1_double_seq_kahan,21,2097152,0.0,0.0,0.0197872399999999,1.3619553770148054e-05
example1_double_seq_kahan,22,4194304,0.0,0.0,0.0395588,6.411087334947499e-06
example1_double_seq_kahan,23,8388608,0.0,0.0,0.07924588,1.4272336593449547e-05
example1_double_seq_kahan,24,16777216,0.0,0.0,0.15861698,1.9591220440984527e-05
example1_double_seq_kahan,25,33554432,0.0,0.0,0.3173643,2.955399762316432e-05
example1_double_seq_kahan,26,67108864,0.0,0.0,0.6348349,6.265267067617041e-05
example1_double_seq_kahan,27,134217728,0.0,0.0,1.27029124,0.0001430839000341
example1_double_seq_kahan,28,268435456,0.0,0.0,2.54101354,0.0002957227196864
example1_double_seq_kahan,29,536870912,0.0,0.0,5.08403242,0.0003587671685431
example1_double_seq_neumaier,15,32768,0.0,0.0,0.0001327,5.908313064260062e-06
example1_double_seq_neumaier,16,65536,0.0,0.0,0.00026742,1.1949024381658503e-05
example1_double_seq_neumaier,17,131072,0.0,0.0,0.00052724,2.230544913747513e-05
example1_double_seq_neumaier,18,262144,0.0,0.0,0.0010665,4.085127330466269e-05
example1_double_seq_neumaier,19,524288,0.0,0.0,0.00212182,7.772050657874755e-05
example1_double_seq_neumaier,20,1048576,0.0,0.0,0.0042689,0.0001243284409316
example1_double_seq_neumaier,21,2097152,0.0,0.0,0.00850404,0.0002347743997447
example1_double_seq_neumaier,22,4194304,0.0,0.0,0.01704748,0.0003537928161151
example1_double_seq_neumaier,23,8388608,0.0,0.0,0.03541748,0.0003602410893401
example1_double_seq_neumaier,24,16777216,0.0,0.0,0.07147428,0.0005743070372729
