name,n,s,r,bsize,mean,std_dev
example1_float_sycl_col_Kahan,23,4096,2048,8,0.00446166,0.0003689815885014
example1_float_sycl_col_Kahan,24,4096,4096,4,0.00699956,0.0006276284862358
example1_float_sycl_col_Kahan,25,8192,4096,16,0.0107366399999999,0.0006731537035264
example1_float_sycl_col_Kahan,26,8192,8192,16,0.0170157,0.0012075657627759
example1_float_sycl_col_Kahan,27,16384,8192,16,0.0306794,0.0030413067210376
example1_float_sycl_col_Kahan,28,32768,8192,16,0.05202992,0.0071195054312294
example1_float_sycl_col_Kahan,29,65536,8192,16,0.0688707799999999,0.004787715101109
example1_float_sycl_col_neumaier,15,256,128,8,0.0014827199999999,7.119677818897282e-05
example1_float_sycl_col_neumaier,16,256,256,4,0.00154244,7.561939066732791e-05
example1_float_sycl_col_neumaier,17,512,256,4,0.0016709,0.0001188127063224
example1_float_sycl_col_neumaier,18,512,512,4,0.0018035999999999,0.0001029622478862
example1_float_sycl_col_neumaier,19,1024,512,4,0.00200762,0.0001366667166085
example1_float_sycl_col_neumaier,20,1024,1024,4,0.00228012,0.0001690776466959
example1_float_sycl_col_neumaier,21,2048,1024,4,0.0027,0.0002016787706492
example1_float_sycl_col_neumaier,22,2048,2048,4,0.00335558,0.0002581050324094
example1_float_sycl_col_neumaier,23,4096,2048,4,0.00461432,0.0003390810173491
example1_float_sycl_col_neumaier,24,8192,2048,4,0.0067847199999999,0.0006109302388445
example1_float_sycl_col_neumaier,25,8192,4096,4,0.0099497,0.0008475464047255
example1_float_sycl_col_neumaier,26,16384,4096,4,0.0147113,0.0011131664387719
example1_float_sycl_col_neumaier,27,32768,4096,8,0.02816142,0.0026449718573403
example1_float_sycl_col_neumaier,28,32768,8192,8,0.04858048,0.0071715213347443
example1_float_sycl_col_neumaier,29,65536,8192,16,0.06556108,0.0047682229644142
example1_float_sycl_row,15,32,1024,8,0.00144602,7.919788958227179e-05
example1_float_sycl_row,16,64,1024,4,0.00146768,6.980773596099503e-05
