function,n,s,r,mean,standard_deviation,coefficient_of_variation
example2_float_acc_col_kahan,2097152,2048,1024,0.00169,"0,00000294","0,002"
example2_float_acc_col_kahan,4194304,4096,1024,0.00244,"0,00000448","0,002"
example2_float_acc_col_kahan,8388608,4096,2048,0.00346,"0,00000905","0,003"
example2_float_acc_col_kahan,16777216,8192,2048,0.00506,"0,00000622","0,001"
example2_float_acc_col_kahan,33554432,16384,2048,0.00814,"0,00000791","0,001"
example2_float_acc_col_kahan,67108864,16384,4096,0.0149,"0,0000652","0,004"
example2_float_acc_col_kahan,134217728,16384,8192,0.0265,"0,0000223","0,001"
example2_float_acc_col_kahan,268435456,32768,8192,0.0474,"0,0000556","0,001"
example2_float_acc_col_kahan,536870912,65536,8192,0.095,"0,0000724","0,001"
example2_float_acc_col_kahan,1073741824,65536,16384,0.224,"0,000404","0,002"
example2_float_acc_col_neumaier,32768,512,64,0.000184,"0,00000249","0,014"
example2_float_acc_col_neumaier,65536,1024,64,0.000278,"0,00000141","0,005"
example2_float_acc_col_neumaier,131072,512,256,0.00039,"0,00000188","0,005"
example2_float_acc_col_neumaier,262144,512,512,0.000562,"0,00000201","0,004"
example2_float_acc_col_neumaier,524288,1024,512,0.000734,"0,00000255","0,003"
example2_float_acc_col_neumaier,1048576,2048,512,0.00108,"0,00000553","0,005"
example2_float_acc_col_neumaier,2097152,2048,1024,0.00172,"0,00000329","0,002"
example2_float_acc_col_neumaier,4194304,4096,1024,0.00247,"0,00000392","0,002"
example2_float_acc_col_neumaier,8388608,4096,2048,0.00352,"0,00000772","0,002"
example2_float_acc_col_neumaier,16777216,8192,2048,0.00515,"0,00000704","0,001"
example2_float_acc_col_neumaier,33554432,16384,2048,0.00827,"0,0000514","0,006"
example2_float_acc_col_neumaier,67108864,16384,4096,0.0153,"0,000166","0,011"
example2_float_acc_col_neumaier,134217728,16384,8192,0.0268,"0,0000244","0,001"
example2_float_acc_col_neumaier,268435456,32768,8192,0.0478,"0,0000483","0,001"
example2_float_acc_col_neumaier,536870912,65536,8192,0.0956,"0,0000513","0,001"
example2_float_acc_col_neumaier,1073741824,65536,16384,0.229,"0,00048","0,002"
example2_float_acc_row,32768,256,128,0.000169,"0,00000198","0,012"
example2_float_acc_row,65536,256,256,0.000221,"0,00000237","0,011"
example2_float_acc_row,131072,512,256,0.000289,"0,00000214","0,007"
example2_float_acc_row,262144,512,512,0.000395,"0,00000116","0,003"
example2_float_acc_row,524288,1024,512,0.000532,"0,00000146","0,003"
example2_float_acc_row,1048576,1024,1024,0.000778,"0,0000087","0,011"
example2_float_acc_row,2097152,1024,2048,0.00152,"0,00000228","0,001"
example2_float_acc_row,4194304,2048,2048,0.00219,"0,00000375","0,002"
example2_float_acc_row,8388608,2048,4096,0.00329,"0,00000518","0,002"
example2_float_acc_row,16777216,2048,8192,0.00566,"0,00000461","0,001"
example2_float_acc_row,33554432,4096,8192,0.0101,"0,0000116","0,001"
example2_float_acc_row,67108864,4096,16384,0.0182,"0,000173","0,01"
example2_float_acc_row,134217728,8192,16384,0.0321,"0,0000345","0,001"
example2_float_acc_row,268435456,8192,32768,0.0631,"0,0000974","0,002"
example2_float_acc_row,536870912,8192,65536,0.135,"0,000143","0,001"
example2_float_acc_row_kahan,32768,256,128,0.000173,"0,00000185","0,011"
example2_float_acc_row_kahan,65536,256,256,0.00023,"0,0000022","0,01"
example2_float_acc_row_kahan,131072,512,256,0.000298,"0,00000124","0,004"
example2_float_acc_row_kahan,262144,512,512,0.000412,"0,00000158","0,004"
example2_float_acc_row_kahan,524288,1024,512,0.000549,"0,00000146","0,003"
example2_float_acc_row_kahan,1048576,1024,1024,0.000815,"0,00000758","0,009"
example2_float_acc_row_kahan,2097152,1024,2048,0.00159,"0,00000293","0,002"
example2_float_acc_row_kahan,4194304,2048,2048,0.00226,"0,00000328","0,001"
example2_float_acc_row_kahan,8388608,2048,4096,0.00344,"0,00000485","0,001"
example2_float_acc_row_kahan,16777216,2048,8192,0.00594,"0,0000046","0,001"
example2_float_acc_row_kahan,33554432,4096,8192,0.0103,"0,00000621","0,001"
example2_float_acc_row_kahan,67108864,8192,8192,0.0185,"0,000147","0,008"
example2_float_acc_row_kahan,134217728,8192,16384,0.0328,"0,0000431","0,001"
example2_float_acc_row_kahan,268435456,8192,32768,0.0641,"0,0000904","0,001"
example2_float_acc_row_kahan,536870912,8192,65536,0.136,"0,000152","0,001"
example2_float_acc_row_neumaier,32768,256,128,0.000176,"0,000000996","0,006"
example2_float_acc_row_neumaier,65536,256,256,0.00023,"0,00000253","0,011"
example2_float_acc_row_neumaier,131072,512,256,0.000303,"0,00000183","0,006"
example2_float_acc_row_neumaier,262144,512,512,0.000413,"0,00000189","0,005"
example2_float_acc_row_neumaier,524288,1024,512,0.000561,"0,00000266","0,005"
example2_float_acc_row_neumaier,1048576,1024,1024,0.000811,"0,00000792","0,01"
example2_float_acc_row_neumaier,2097152,1024,2048,0.00157,"0,00000312","0,002"
example2_float_acc_row_neumaier,4194304,2048,2048,0.00225,"0,0000045","0,002"
example2_float_acc_row_neumaier,8388608,2048,4096,0.00337,"0,00000578","0,002"
example2_float_acc_row_neumaier,16777216,2048,8192,0.00579,"0,00000363","0,001"
example2_float_acc_row_neumaier,33554432,4096,8192,0.0102,"0,00000624","0,001"
example2_float_acc_row_neumaier,67108864,8192,8192,0.0184,"0,000247","0,013"
example2_float_acc_row_neumaier,134217728,8192,16384,0.0327,"0,0000346","0,001"
example2_float_acc_row_neumaier,268435456,8192,32768,0.0636,"0,0000924","0,001"
example2_float_acc_row_neumaier,536870912,8192,65536,0.135,"0,000162","0,001"
