name,n,arg1,arg2,arg3,mean,std
example2_double_sycl_row_neumaier,33554432,16384,2048,64,0.08997144,0.007895833949725175
example2_double_sycl_row_neumaier,4194304,2048,2048,64,0.01318324,0.0013757516915252894
example2_double_sycl_row_neumaier,524288,1024,512,32,0.008366,0.001538976389205049
example2_double_sycl_row_neumaier,536870912,65536,8192,128,1.68532466,0.2442177867171949
example2_double_sycl_row_neumaier,65536,512,128,16,0.004029,0.000219912784196511
example2_double_sycl_row_neumaier,67108864,32768,2048,64,0.1759488,0.02176869452649275
example2_double_sycl_row_neumaier,8388608,4096,2048,64,0.022072519999999998,0.0014719581881816825
example2_float_sycl_col,1048576,4096,256,8,0.15647572,0.0006004203982992906
example2_float_sycl_col,131072,1024,128,16,0.15585196,0.0005771328485695087
example2_float_sycl_col,134217728,32768,4096,8,0.19042608000000003,0.002423187172940226
example2_float_sycl_col,16777216,16384,1024,8,0.15949586,0.0008520998075582536
example2_float_sycl_col,2097152,4096,512,32,0.15671906,0.0007368495654072295
example2_float_sycl_col,262144,2048,128,8,0.1558202,0.000674959741807777
example2_float_sycl_col,268435456,65536,4096,8,0.2291614,0.004125126061153544
example2_float_sycl_col,32768,512,64,8,0.15567228,0.0006664063551648409
example2_float_sycl_col,33554432,8192,4096,4,0.16217738,0.0011618510721592241
example2_float_sycl_col,4194304,2048,2048,64,0.15721088,0.0008608166895810161
example2_float_sycl_col,524288,512,1024,32,0.15607844,0.000525758699987215
example2_float_sycl_col,536870912,32768,16384,8,0.30578172,0.003704627773529785
example2_float_sycl_col,65536,256,256,16,0.1559016,0.0006295863559447825
example2_float_sycl_col,67108864,8192,8192,4,0.1703565,0.001063076076721681
example2_float_sycl_col,8388608,2048,4096,64,0.1580008,0.0007466890454615372
example2_float_sycl_col_Kahan,1048576,4096,256,16,0.15663806000000002,0.0007317633834701975
example2_float_sycl_col_Kahan,131072,512,256,16,0.15604231999999998,0.0005844263344581284
example2_float_sycl_col_Kahan,134217728,2048,65536,32,0.18968324,0.0010032883802165522
example2_float_sycl_col_Kahan,16777216,4096,4096,32,0.15929704,0.0006874092729745657
example2_float_sycl_col_Kahan,2097152,2048,1024,32,0.15710664,0.000731693639469975
example2_float_sycl_col_Kahan,262144,2048,128,16,0.15613965999999999,0.0005316072898411522
example2_float_sycl_col_Kahan,268435456,4096,65536,16,0.22835034,0.0012810872552290146
example2_float_sycl_col_Kahan,32768,256,128,4,0.15595864,0.00045839514902872095
example2_float_sycl_col_Kahan,33554432,4096,8192,32,0.16254658,0.0007361965711877326
example2_float_sycl_col_Kahan,4194304,2048,2048,64,0.15750928,0.0006334913313840842
example2_float_sycl_col_Kahan,524288,2048,256,16,0.15634498,0.0005044332236707465
example2_float_sycl_col_Kahan,536870912,4096,131072,16,0.30401014,0.002036848686534356
example2_float_sycl_col_Kahan,65536,512,128,16,0.15621005999999998,0.000673379579101582
example2_float_sycl_col_Kahan,67108864,2048,32768,64,0.17114439999999997,0.000812862616100066
example2_float_sycl_col_Kahan,8388608,2048,4096,64,0.15818416000000002,0.0006297399968824192
example2_float_sycl_col_neumaier,1048576,4096,256,8,0.16441328,0.0006641848783682687
example2_float_sycl_col_neumaier,131072,512,256,16,0.16374251999999997,0.0006605319513661008
example2_float_sycl_col_neumaier,134217728,8192,16384,32,0.19800864,0.0011427186123183486
example2_float_sycl_col_neumaier,16777216,4096,4096,32,0.16723206000000002,0.0006211503945527707
example2_float_sycl_col_neumaier,2097152,4096,512,16,0.1649009,0.00085433540825364
example2_float_sycl_col_neumaier,262144,2048,128,8,0.16381568000000002,0.0005226668443703719
example2_float_sycl_col_neumaier,268435456,8192,32768,16,0.23589848,0.0012433659260742479
example2_float_sycl_col_neumaier,32768,128,256,16,0.16357056,0.0006083237309464877
example2_float_sycl_col_neumaier,33554432,4096,8192,16,0.17045486,0.0006262097519756336
example2_float_sycl_col_neumaier,4194304,4096,1024,32,0.16509752,0.0008330363012400315
example2_float_sycl_col_neumaier,524288,2048,256,8,0.16410608,0.0006828712443254205
example2_float_sycl_col_neumaier,536870912,8192,65536,16,0.31294896,0.0016695806263116175
example2_float_sycl_col_neumaier,65536,512,128,16,0.16383672000000002,0.0007160149935723525
example2_float_sycl_col_neumaier,67108864,4096,16384,64,0.17904736,0.0007632811224160679
example2_float_sycl_col_neumaier,8388608,8192,1024,16,0.16600552000000002,0.0006895768664143783
example2_float_sycl_row,1048576,4096,256,16,0.16347422,0.0009820332154904486
example2_float_sycl_row,131072,1024,128,16,0.16097312,0.0008022744871009276
example2_float_sycl_row,134217728,32768,4096,64,0.3441022,0.016644522150925593
example2_float_sycl_row,16777216,8192,2048,64,0.18088927999999999,0.0025060693105713938
example2_float_sycl_row,2097152,4096,512,32,0.1650525,0.0019292648726858598
example2_float_sycl_row,262144,2048,128,16,0.16187442000000002,0.0005613877880497783
example2_float_sycl_row,268435456,32768,8192,128,0.5502831,0.03493870632994591
example2_float_sycl_row,32768,256,128,16,0.15993178,0.0006685595936070927
example2_float_sycl_row,33554432,8192,4096,64,0.20643366,0.0030049931617973677
example2_float_sycl_row,4194304,2048,2048,64,0.16635629999999998,0.0018825287948037602
example2_float_sycl_row,524288,1024,512,32,0.16491678,0.001300065214847764
example2_float_sycl_row,536870912,65536,8192,128,1.01531854,0.08887703620129858
example2_float_sycl_row,65536,512,128,16,0.1606751,0.0006753075867593253
example2_float_sycl_row,67108864,32768,2048,64,0.24867314000000001,0.0057181562356324305
example2_float_sycl_row,8388608,4096,2048,64,0.17036098,0.0017600955967776038
example2_float_sycl_row_kahan,1048576,2048,512,32,0.16203092000000002,0.0011658218059657775
example2_float_sycl_row_kahan,131072,1024,128,16,0.159799,0.0005481841266715821
example2_float_sycl_row_kahan,134217728,16384,8192,128,0.34871896,0.017520897371203485
example2_float_sycl_row_kahan,16777216,8192,2048,64,0.17944432,0.0023337396059910876
example2_float_sycl_row_kahan,2097152,4096,512,32,0.16385058,0.0020499812551656726
example2_float_sycl_row_kahan,262144,2048,128,16,0.16052655999999998,0.00071433274588019
example2_float_sycl_row_kahan,268435456,65536,4096,64,0.54961524,0.03990658404556976
example2_float_sycl_row_kahan,32768,256,128,16,0.1585186,0.0006789396594871224
example2_float_sycl_row_kahan,33554432,8192,4096,64,0.206243,0.0028012404905174196
example2_float_sycl_row_kahan,4194304,2048,2048,64,0.16552622,0.0019198416632203628
example2_float_sycl_row_kahan,524288,2048,256,16,0.16377458,0.0015865308205294324
example2_float_sycl_row_kahan,536870912,65536,8192,128,1.00185244,0.09608034365372961
example2_float_sycl_row_kahan,65536,512,128,16,0.15933548,0.0007290371127979232
example2_float_sycl_row_kahan,67108864,16384,4096,64,0.24733262,0.0074458881568614625
example2_float_sycl_row_kahan,8388608,4096,2048,64,0.16907598000000001,0.0017308901978874518
example2_float_sycl_row_neumaier,1048576,2048,512,32,0.17486816000000002,0.0014733897798156746
example2_float_sycl_row_neumaier,131072,1024,128,16,0.17251662,0.0006932590554469394
example2_float_sycl_row_neumaier,134217728,16384,8192,128,0.36481626,0.016834310069095464
example2_float_sycl_row_neumaier,16777216,4096,4096,64,0.19247883999999998,0.002588205519392201
example2_float_sycl_row_neumaier,2097152,4096,512,32,0.17651684,0.0018500554140625186
example2_float_sycl_row_neumaier,262144,2048,128,16,0.17328452,0.0006528342052863308
example2_float_sycl_row_neumaier,268435456,65536,4096,64,0.56685108,0.04031197212498683
example2_float_sycl_row_neumaier,32768,256,128,16,0.17132504,0.0006635226634395861
example2_float_sycl_row_neumaier,33554432,8192,4096,64,0.21784114,0.0020640669979040734
example2_float_sycl_row_neumaier,4194304,2048,2048,64,0.17781634000000002,0.0019057448017475375
example2_float_sycl_row_neumaier,524288,2048,256,16,0.17639568,0.0018477554882856643
