,,,example1,,,,,,example2,,,,,
n,,,double,double_kahan,double_neumaier,float,float_kahan,float_neumaier,double,double_kahan,double_neumaier,float,float_kahan,float_neumaier
2097152,256,8192,5e-14,5e-14,5e-14,4e-07,6e-08,6e-08,3e-12,3e-12,3e-12,6e-06,1e-07,1e-07
2097152,512,4096,5e-14,5e-14,5e-14,4e-07,6e-08,6e-08,3e-12,3e-12,3e-12,1e-05,5e-08,5e-08
2097152,1024,2048,5e-14,5e-14,5e-14,2e-07,6e-08,6e-08,3e-12,3e-12,3e-12,3e-06,5e-08,5e-08
2097152,2048,1024,5e-14,5e-14,5e-14,2e-07,6e-08,6e-08,3e-12,3e-12,3e-12,2e-06,5e-08,6e-08
2097152,4096,512,5e-14,5e-14,5e-14,5e-07,6e-08,6e-08,3e-12,3e-12,3e-12,2e-06,6e-08,5e-08
2097152,8192,256,5e-14,5e-14,5e-14,2e-06,6e-08,6e-08,3e-12,3e-12,3e-12,9e-06,1e-07,7e-08
2097152,16384,128,5e-14,5e-14,5e-14,6e-06,6e-08,6e-08,3e-12,3e-12,3e-12,5e-05,5e-07,5e-07
4194304,256,16384,7e-15,1e-14,1e-14,2e-06,6e-08,6e-08,8e-13,8e-13,8e-13,6e-06,5e-08,5e-08
4194304,512,8192,1e-14,1e-14,1e-14,5e-07,6e-08,6e-08,8e-13,8e-13,8e-13,6e-06,5e-08,5e-08
4194304,1024,4096,1e-14,1e-14,1e-14,1e-06,6e-08,6e-08,8e-13,8e-13,8e-13,1e-05,7e-08,7e-08
4194304,2048,2048,1e-14,1e-14,1e-14,7e-07,6e-08,6e-08,8e-13,8e-13,8e-13,4e-06,1e-07,1e-07
4194304,4096,1024,1e-14,1e-14,1e-14,2e-06,6e-08,6e-08,8e-13,8e-13,8e-13,4e-06,1e-07,9e-08
4194304,8192,512,1e-14,1e-14,1e-14,8e-07,6e-08,6e-08,8e-13,8e-13,8e-13,5e-06,1e-07,1e-07
4194304,16384,256,1e-14,1e-14,1e-14,5e-06,6e-08,6e-08,8e-13,8e-13,8e-13,4e-05,4e-08,5e-08
4194304,32768,128,1e-14,1e-14,1e-14,2e-05,6e-08,6e-08,8e-13,8e-13,8e-13,1e-04,2e-07,2e-07
8388608,256,32768,1e-14,3e-15,3e-15,2e-06,6e-08,6e-08,2e-13,2e-13,2e-13,7e-06,5e-08,5e-08
8388608,512,16384,2e-15,3e-15,3e-15,5e-06,6e-08,6e-08,2e-13,2e-13,2e-13,8e-07,5e-08,5e-08
8388608,1024,8192,3e-15,3e-15,3e-15,9e-07,6e-08,6e-08,2e-13,2e-13,2e-13,6e-06,6e-08,6e-08
8388608,2048,4096,1e-15,3e-15,3e-15,7e-07,6e-08,6e-08,2e-13,2e-13,2e-13,1e-06,5e-08,5e-08
8388608,4096,2048,3e-15,3e-15,3e-15,4e-07,6e-08,6e-08,2e-13,2e-13,2e-13,6e-07,9e-08,8e-08
8388608,8192,1024,3e-15,3e-15,3e-15,1e-06,6e-08,6e-08,2e-13,2e-13,2e-13,5e-05,5e-08,5e-08
8388608,16384,512,3e-15,3e-15,3e-15,9e-06,6e-08,6e-08,2e-13,2e-13,2e-13,1e-04,2e-07,2e-07
8388608,32768,256,3e-15,3e-15,3e-15,9e-06,6e-08,6e-08,2e-13,2e-13,2e-13,4e-04,4e-08,6e-08
16777216,512,32768,9e-15,7e-16,7e-16,6e-06,6e-08,6e-08,8e-14,5e-14,5e-14,1e-05,5e-08,5e-08
16777216,1024,16384,2e-15,7e-16,7e-16,1e-05,6e-08,6e-08,8e-14,5e-14,5e-14,3e-06,5e-08,5e-08
16777216,2048,8192,8e-16,7e-16,7e-16,3e-06,6e-08,6e-08,7e-14,5e-14,5e-14,2e-05,5e-08,5e-08
16777216,4096,4096,1e-15,7e-16,7e-16,3e-06,6e-08,6e-08,5e-14,5e-14,5e-14,2e-05,8e-08,8e-08
16777216,8192,2048,7e-16,7e-16,7e-16,4e-06,6e-08,6e-08,5e-14,5e-14,5e-14,3e-05,5e-08,5e-08
16777216,16384,1024,4e-16,7e-16,7e-16,1e-06,6e-08,6e-08,6e-14,5e-14,5e-14,8e-05,6e-08,6e-08
16777216,32768,512,1e-15,7e-16,7e-16,1e-05,6e-08,6e-08,6e-14,5e-14,5e-14,1e-05,5e-08,4e-08
16777216,65536,256,6e-16,7e-16,7e-16,3e-05,6e-08,6e-08,6e-14,5e-14,5e-14,1e-03,6e-08,6e-08
33554432,512,65536,3e-15,2e-16,2e-16,8e-06,7e-08,7e-08,1e-13,1e-14,1e-14,8e-06,5e-08,5e-08
33554432,1024,32768,4e-15,2e-16,2e-16,1e-05,7e-08,7e-08,2e-14,1e-14,1e-14,2e-05,5e-08,5e-08
33554432,2048,16384,5e-15,2e-16,2e-16,2e-05,7e-08,7e-08,1e-14,1e-14,1e-14,4e-06,5e-08,5e-08
33554432,4096,8192,1e-15,2e-16,2e-16,2e-06,7e-08,7e-08,1e-14,1e-14,1e-14,1e-05,5e-08,5e-08
33554432,8192,4096,2e-15,2e-16,2e-16,1e-06,7e-08,7e-08,3e-14,1e-14,1e-14,5e-05,7e-08,6e-08
33554432,16384,2048,7e-16,2e-16,2e-16,1e-06,7e-08,7e-08,1e-14,1e-14,1e-14,1e-04,7e-08,7e-08
33554432,32768,1024,5e-16,2e-16,2e-16,3e-06,7e-08,6e-08,1e-14,1e-14,1e-14,4e-04,1e-07,1e-07
33554432,65536,512,1e-15,2e-16,2e-16,4e-05,7e-08,6e-08,4e-14,1e-14,1e-14,3e-04,5e-08,4e-08
67108864,1024,65536,8e-15,1e-16,1e-16,1e-05,7e-08,7e-08,1e-13,3e-15,3e-15,7e-06,5e-08,5e-08
67108864,2048,32768,4e-15,1e-16,1e-16,2e-05,7e-08,7e-08,8e-14,3e-15,3e-15,2e-05,5e-08,5e-08
67108864,4096,16384,5e-15,1e-16,1e-16,2e-05,7e-08,7e-08,2e-14,3e-15,3e-15,1e-05,5e-08,5e-08
67108864,8192,8192,3e-15,1e-16,1e-16,2e-05,7e-08,7e-08,7e-15,3e-15,3e-15,7e-05,7e-08,7e-08
67108864,16384,4096,1e-15,1e-16,1e-16,1e-05,7e-08,7e-08,8e-15,3e-15,3e-15,8e-05,6e-08,5e-08
67108864,32768,2048,9e-16,1e-16,1e-16,1e-05,7e-08,7e-08,3e-14,3e-15,3e-15,4e-05,6e-08,5e-08
67108864,65536,1024,7e-16,1e-16,1e-16,4e-05,7e-08,6e-08,1e-14,3e-15,3e-15,3e-04,4e-08,9e-08
67108864,131072,512,2e-15,1e-16,1e-16,3e-05,7e-08,6e-08,1e-14,3e-15,3e-15,1e-03,2e-07,4e-08
134217728,1024,131072,1e-14,1e-16,1e-16,7e-06,6e-08,6e-08,2e-14,1e-15,1e-15,4e-05,5e-08,5e-08
134217728,2048,65536,7e-15,1e-16,1e-16,1e-05,6e-08,6e-08,5e-14,1e-15,1e-15,2e-05,5e-08,5e-08
